"PF"	"IPR"
"PF01661"	NA
"PF05110"	NA
"PF02985"	NA
"PF00514"	NA
"PF00779"	NA
"PF00169"	NA
"PF00656"	NA
"PF02312"	NA
"PF00439"	NA
"PF06001"	NA
"PF09030"	NA
"PF06010"	NA
"PF02135"	NA
"PF00569"	NA
"PF04731"	NA
"PF00046"	NA
"PF00637"	NA
"PF09268"	NA
"PF01394"	NA
"PF09036"	NA
"PF00621"	NA
"PS50003"	NA
"PF00168"	NA
"PF00373"	NA
"PF00769"	NA
"PF07716"	NA
"PF00307"	NA
"PF02172"	NA
"PF07651"	NA
"PF01417"	NA
"PF00036"	NA
"PS50031"	NA
"PF02809"	NA
"PF00611"	NA
"PF00397"	NA
"PF00595"	NA
"PF03451"	NA
"PS00018"	NA
"PS00135"	NA
"PF00271"	NA
"PF00010"	NA
"PF02178"	NA
"PF02008"	NA
"PF00628"	NA
"PF00653"	NA
"PF00053"	NA
"PF00054"	NA
"PF02210"	NA
"PF06008"	NA
"PF06009"	NA
"PF00560"	NA
"PF00063"	NA
"PS50163"	NA
"PF00612"	NA
"PF01576"	NA
"PF06017"	NA
"PF00018"	NA
"PF00564"	NA
"PS00559"	NA
"PF09128"	NA
"PF03528"	NA
"PF09311"	NA
"PF00735"	NA
"PS51215"	NA
"PS50868"	NA
"PF00855"	NA
"PF00856"	NA
"PF03114"	NA
"PF07989"	NA
"PF02037"	NA
"PF00435"	NA
"PF01017"	NA
"PF02864"	NA
"PF02865"	NA
"PF01843"	NA
"PF00498"	NA
"PF00788"	NA
"PF00250"	NA
"PF00261"	NA
"PS00176"	NA
"PF01028"	NA
"PF02919"	NA
"PF00515"	NA
"PF08788"	NA
"PF07531"	NA
"PF01753"	NA
"PF00643"	NA
"PF00097"	NA
"PF01853"	NA
"PF01391"	NA
"PF00093"	NA
"PF01406"	NA
"EAD"	NA
"PF00641"	NA
"PF00076"	NA
"PF03271"	NA
"PF07303"	NA
"PF00178"	NA
"PF05182"	NA
"PF06508"	NA
"PF00117"	NA
"PF00958"	NA
"PF00400"	NA
"PF04617"	NA
"PF03826"	NA
"PF00105"	NA
"PF00104"	NA
"PF00047"	NA
"PF07679"	NA
"PS50896"	NA
"PF00412"	NA
"PF02142"	NA
"PF01808"	NA
"PF03454"	NA
"PF03453"	NA
"PF00994"	NA
"PF02736"	NA
"PF00956"	NA
"PF03066"	NA
"PF00292"	NA
"PS01155"	NA
"PF07054"	NA
"PF00341"	NA
"PF04692"	NA
"PF00443"	NA
"PB042686"	NA
"PB007591"	NA
"PF02173"	NA
"PF02198"	NA
"PF00157"	NA
"PF02197"	NA
"PF07744"	NA
"PF04597"	NA
"PF00853"	NA
"PF08504"	NA
"PF05030"	NA
"PS00260"	NA
"PF09514"	NA
"PF00418"	NA
"PF00319"	NA
"PF07714"	NA
"PF00017"	NA
"PF08919"	NA
"PF00627"	NA
"PF03366"	NA
"PF00651"	NA
"PF00096"	NA
"PF00320"	NA
"PF06467"	NA
NA	"IPR002857"
NA	"IPR000315"
NA	"IPR019787"
NA	"IPR003118"
NA	"IPR000712"
NA	"IPR010507"
NA	"IPR011017"
NA	"IPR001841"
NA	"IPR000219"
NA	"IPR001849"
NA	"IPR000504"
NA	"IPR003093"
NA	"IPR001965"
NA	"IPR001881"
NA	"IPR000742"
NA	"IPR006210"
NA	"IPR006209"
NA	"IPR001523"
NA	"IPR005818"
NA	"IPR015123"
NA	"IPR002717"
NA	"IPR001609"
NA	"IPR002475"
NA	"IPR002100"
NA	"IPR013111"
NA	"IPR001370"
NA	"IPR000418"
NA	"IPR001752"
NA	"IPR000270"
NA	"IPR006594"
NA	"IPR013524"
NA	"IPR000595"
NA	"IPR000980"
NA	"IPR015880"
NA	"IPR000299"
NA	"IPR018979"
NA	"IPR018980"
NA	"IPR019748"
NA	"IPR019749"
NA	"IPR017986"
NA	"IPR000008"
NA	"IPR012921"
NA	"IPR011539"
NA	"IPR000210"
NA	"IPR018993"
NA	"IPR002909"
NA	"IPR007087"
NA	"IPR011598"
NA	"IPR001478"
NA	"IPR001876"
NA	"IPR000198"
NA	"IPR013724"
NA	"IPR020683"
NA	"IPR000433"
NA	"IPR001005"
NA	"IPR014778"
NA	"IPR017877"
NA	"IPR015348"
NA	"IPR018029"
NA	"IPR015125"
NA	"IPR018514"
NA	"IPR013809"
NA	"IPR001494"
NA	"IPR013069"
NA	"IPR003649"
NA	"IPR022102"
NA	"IPR001487"
NA	"IPR003598"
NA	"IPR003599"
NA	"IPR007110"
NA	"IPR013258"
NA	"IPR004009"
NA	"IPR020575"
NA	"IPR024670"
NA	"IPR004367"
NA	"IPR006671"
NA	"IPR013763"
NA	"IPR012943"
NA	"IPR001026"
NA	"IPR011417"
NA	"IPR005108"
NA	"IPR020587"
NA	"IPR013098"
NA	"IPR013151"
NA	"IPR007854"
NA	"IPR001715"
NA	"IPR012975"
NA	"IPR012642"
