"Trgt_Genes"	"Drug_name"	"Drug_chembl_id"
"A2M"	"ALPROSTADIL,THROMBIN"	"CHEMBL2108110,CHEMBL495"
"AANAT"	"FLUOXETINE,ISOPROTERENOL,MELATONIN"	"CHEMBL41,CHEMBL434,CHEMBL45"
"ABAT"	"CHEMBL378577,DIVALPROEX SODIUM,L-ALANINE,PYRIDOXAL PHOSPHATE,PYRUVATE,TIAGABINE,VALPROIC ACID,VIGABATRIN"	"CHEMBL1027,CHEMBL109,CHEMBL1162144,CHEMBL2105613,CHEMBL279597,CHEMBL378577,CHEMBL82202,CHEMBL89598"
"ABCA1"	"CYCLOSPORINE,DORZOLAMIDE,PROBUCOL"	"CHEMBL160,CHEMBL218490,CHEMBL608"
"ABCA4"	NA	NA
"ABCA5"	NA	NA
"ABCB1"	"ATAZANAVIR,ATORVASTATIN,BENZOQUINONE,BIOCHANIN,BISANTRENE (CHEMBL139554),BROMOCRIPTINE,BRYOSTATIN,CAMPTOTHECIN,CAPSAICIN,CARBOPLATIN,CHEMBL1213492,CHLORPROMAZINE,CLARITHROMYCIN,COLCHICINE,CURCUMIN,CYCLOSPORINE,DAUNORUBICIN,DEFEROXAMINE,DEXTROMETHORPHAN,DIGOXIN,DIMETHYL SULFOXIDE,DOMPERIDONE,DOXORUBICIN,DOXYCYCLINE,EPIGALOCATECHIN GALLATE,EPIRUBICIN,FENOFIBRATE,FEXOFENADINE HYDROCHLORIDE,FILGRASTIM,FLUOROURACIL,GABAPENTIN,GARLIC,GEFITINIB,GEMTUZUMAB OZOGAMICIN,GINKGO,HYDROCORTISONE,HYDROGEN PEROXIDE,IBUPROFEN,IMATINIB,ITRACONAZOLE,LONAFARNIB,LOVASTATIN,MEGESTROL ACETATE,METHADONE,MICONAZOLE,MILTEFOSINE,NICOTINE,NIFEDIPINE,NIMODIPINE,PACLITAXEL,PHENOBARBITAL,PHENOTHIAZINE,PRAVASTATIN,PROBENECID,PROPRANOLOL,RANITIDINE,RITUXIMAB,SIMVASTATIN,SIROLIMUS,SPIRONOLACTONE,TARIQUIDAR,TERFENADINE,TESMILIFENE,TRICHOSTATIN,TRIMETREXATE,VALSPODAR,VERAPAMIL,VINCRISTINE,VITAMIN E,ZIDOVUDINE,ZOSUQUIDAR"	"CHEMBL1064,CHEMBL107,CHEMBL1086218,CHEMBL1144,CHEMBL1163,CHEMBL116438,CHEMBL119,CHEMBL1200618,CHEMBL1201139,CHEMBL1201506,CHEMBL1201567,CHEMBL1201576,CHEMBL1213492,CHEMBL125,CHEMBL129,CHEMBL131921,CHEMBL1351,CHEMBL1393,CHEMBL139554,CHEMBL1428,CHEMBL1433,CHEMBL1487,CHEMBL160,CHEMBL17157,CHEMBL1741,CHEMBL1751,CHEMBL178,CHEMBL1790041,CHEMBL185,CHEMBL193,CHEMBL2108463,CHEMBL2108466,CHEMBL219916,CHEMBL22587,CHEMBL26424,CHEMBL27,CHEMBL294199,CHEMBL297453,CHEMBL298734,CHEMBL3,CHEMBL348475,CHEMBL389621,CHEMBL40,CHEMBL413,CHEMBL417,CHEMBL428647,CHEMBL444172,CHEMBL449158,CHEMBL47,CHEMBL493,CHEMBL503,CHEMBL504,CHEMBL521,CHEMBL52440,CHEMBL53463,CHEMBL556,CHEMBL65,CHEMBL651,CHEMBL672,CHEMBL6966,CHEMBL71,CHEMBL71595,CHEMBL828,CHEMBL8320,CHEMBL897,CHEMBL90555,CHEMBL91,CHEMBL939,CHEMBL940,CHEMBL941,CHEMBL99"
"ABCB11"	"GLYCOCHENODEOXYCHOLIC ACID,PROBUCOL"	"CHEMBL409348,CHEMBL608"
"ABCB4"	"AMYLIN,BENZQUINAMIDE,CALCITONIN,CHEMBL80117,CURCUMIN,CYCLOSPORINE,MITOMYCIN,ORTATAXEL,PRAMLINTIDE,TARIQUIDAR,VALSPODAR,VINBLASTINE,VINCRISTINE"	"CHEMBL105,CHEMBL1086218,CHEMBL116438,CHEMBL1201250,CHEMBL159,CHEMBL160,CHEMBL2103758,CHEMBL2401866,CHEMBL348475,CHEMBL359713,CHEMBL382300,CHEMBL80117,CHEMBL90555"
"ABCC1"	"ALVOCIDIB,AZITHROMYCIN,BENZBROMARONE,BIRICODAR,BUTHIONINE SULFOXIMINE,CISPLATIN (CHEMBL2068237),CYCLOSPORINE,DAUNORUBICIN,DIPYRIDAMOLE,DROLOXIFENE,EPIGALOCATECHIN GALLATE,ERYTHROMYCIN,ETOPOSIDE,IRINOTECAN,LAMIVUDINE,MELPHALAN,NOVOBIOCIN,OFLOXACIN,PILOCARPINE,PIRARUBICIN,PROBENECID,RITONAVIR,SAQUINAVIR MESYLATE,SODIUM BUTYRATE,SULFINPYRAZONE,TENIPOSIDE,THYMIDINE,TROXACITABINE,VALSPODAR"	"CHEMBL1086218,CHEMBL1398373,CHEMBL141,CHEMBL160,CHEMBL1609891,CHEMBL163,CHEMBL178,CHEMBL2068237,CHEMBL282042,CHEMBL297453,CHEMBL350775,CHEMBL359164,CHEMBL36506,CHEMBL388590,CHEMBL4,CHEMBL428690,CHEMBL44657,CHEMBL452231,CHEMBL481,CHEMBL487,CHEMBL52609,CHEMBL529,CHEMBL532,CHEMBL550,CHEMBL62381,CHEMBL832,CHEMBL852,CHEMBL897,CHEMBL932"
"ABCC10"	"PACLITAXEL"	"CHEMBL428647"
"ABCC2"	"SULFINPYRAZONE"	"CHEMBL832"
"ABCC3"	"PACLITAXEL,VEDOTIN"	"CHEMBL2364667,CHEMBL428647"
"ABCC4"	"ADEFOVIR,ESTRADIOL DISULFATE,GANCICLOVIR,LEUCOVORIN,METHOTREXATE,THIOGUANINE,ZIDOVUDINE"	"CHEMBL1162492,CHEMBL129,CHEMBL1679,CHEMBL182,CHEMBL34259,CHEMBL484,CHEMBL727"
"ABCC5"	"SILDENAFIL"	"CHEMBL192"
"ABCC6"	"CHONDROITIN SULFATE,SODIUM CHLORIDE"	"CHEMBL1200574,CHEMBL2303614"
"ABCC8"	"ACETOHEXAMIDE,CHLORPROPAMIDE,GLIMEPIRIDE,GLIPIZIDE,GLYBURIDE,MITIGLINIDE,NAMINIDIL,NATEGLINIDE,REPAGLINIDE,SARAKALIM,TOLAZAMIDE,TOLBUTAMIDE,TOLBUTAMIDE SODIUM, STERILE"	"CHEMBL1073,CHEMBL1200874,CHEMBL1272,CHEMBL1481,CHEMBL1589,CHEMBL2104449,CHEMBL2105160,CHEMBL471498,CHEMBL472,CHEMBL498,CHEMBL782,CHEMBL783,CHEMBL817"
"ABCC9"	"MINOXIDIL,NAMINIDIL,PINACIDIL HYDRATE,SARAKALIM"	"CHEMBL1200338,CHEMBL2104449,CHEMBL2105160,CHEMBL802"
"ABCG2"	"ALVOCIDIB,CHLORPROMAZINE,CYCLOSPORINE,FOLIC ACID,GENISTEIN,GONADOTROPIN, CHORIONIC,IMATINIB,IMATINIB MESYLATE,ITRACONAZOLE,KETOCONAZOLE,MITOXANTRONE,NITROFURANTOIN,PRASTERONE,PRAVASTATIN,SIROLIMUS,TACROLIMUS,VORICONAZOLE"	"CHEMBL1144,CHEMBL1201509,CHEMBL160,CHEMBL1622,CHEMBL1642,CHEMBL22587,CHEMBL269732,CHEMBL295698,CHEMBL413,CHEMBL428690,CHEMBL44,CHEMBL572,CHEMBL58,CHEMBL638,CHEMBL71,CHEMBL90593,CHEMBL941"
"ABCG4"	NA	NA
"ABHD6"	NA	NA
"ABL1"	"ABL-001,ACYCLOVIR,AT-9283,AXITINIB,AZACITIDINE,AZD-0424,AZM-475271,BAFETINIB,BLINATUMOMAB,BOSUTINIB,BUSULFAN,CABOZANTINIB,CELECOXIB,CHEMBL1081312,CRIZOTINIB,DASATINIB,ENMD-2076,Flumatinib,FORETINIB,GENISTEIN,HYDROXYUREA,IMATINIB,IMATINIB MESYLATE,KW-2449,MASITINIB,MELPHALAN,NILOTINIB,NILOTINIB HYDROCHLORIDE MONOHYDRATE,OXALIPLATIN,Pexmetinib,PILOCARPINE,PONATINIB,PONATINIB HYDROCHLORIDE,PROGESTERONE,QUERCETIN,REBASTINIB,REGORAFENIB,SARACATINIB,TRAMETINIB,VANDETANIB,VENETOCLAX,XL-228"	"CHEMBL103,CHEMBL1081312,CHEMBL1171837,CHEMBL118,CHEMBL1201740,CHEMBL1230609,CHEMBL1289926,CHEMBL1421,CHEMBL1489,CHEMBL1642,CHEMBL1738757,CHEMBL1742992,CHEMBL184,CHEMBL1908391,CHEMBL1908397,CHEMBL1946170,CHEMBL206834,CHEMBL2103875,CHEMBL2105708,CHEMBL2105717,CHEMBL217092,CHEMBL24828,CHEMBL255863,CHEMBL288441,CHEMBL3137309,CHEMBL3545085,CHEMBL3545115,CHEMBL3545150,CHEMBL3545177,CHEMBL3545297,CHEMBL3545413,CHEMBL414804,CHEMBL44,CHEMBL467,CHEMBL482968,CHEMBL495727,CHEMBL50,CHEMBL550,CHEMBL601719,CHEMBL820,CHEMBL852,CHEMBL941"
"ABL2"	"ADENOSINE TRIPHOSPHATE,BOSUTINIB,DASATINIB,IMATINIB,NILOTINIB,SARACATINIB"	"CHEMBL1421,CHEMBL14249,CHEMBL217092,CHEMBL255863,CHEMBL288441,CHEMBL941"
"ACACA"	"CHEMBL1562779"	"CHEMBL1562779"
"ACACB"	"CHEMBL1562779,METFORMIN"	"CHEMBL1431,CHEMBL1562779"
"ACADM"	NA	NA
"ACADSB"	"VALPROIC ACID"	"CHEMBL109"
"ACAT1"	"BENOXAPROFEN,SULFASALAZINE"	"CHEMBL340978,CHEMBL421"
"ACE"	"BENAZEPRIL,BENAZEPRIL HYDROCHLORIDE,BENAZEPRILAT,CANDOXATRIL,CAPTOPRIL,CHEMBL1235767,CHEMBL3187812,CILAZAPRIL,DESERPIDINE,ENALAPRIL,ENALAPRIL MALEATE,ENALAPRILAT,ENALAPRILAT HYDRATE,FASIDOTRIL,FASIDOTRILAT,FOSINOPRIL,FOSINOPRIL SODIUM,IMIDAPRIL,IMIDAPRILAT,INDOMETHACIN,LISINOPRIL,LISINOPRIL HYDRATE,MOEXIPRIL,MOEXIPRIL HYDROCHLORIDE,PERINDOPRIL,PERINDOPRIL ARGININE,PERINDOPRIL ERBUMINE,PERINDOPRILAT,QUINAPRIL,QUINAPRIL HYDROCHLORIDE,QUINAPRILAT,RAMIPRIL,RAMIPRILAT,RESCINNAMINE,SPIRAPRIL,SPIRAPRIL HYDROCHLORIDE,SPIRAPRILAT,TRANDOLAPRIL,TRANDOLAPRILAT,VASOPRESSIN,ZOFENOPRIL"	"CHEMBL1165,CHEMBL1168,CHEMBL1192519,CHEMBL1200343,CHEMBL1200515,CHEMBL1200534,CHEMBL1200659,CHEMBL1200697,CHEMBL1200831,CHEMBL1201011,CHEMBL1201365,CHEMBL1201368,CHEMBL1201387,CHEMBL1235767,CHEMBL1237,CHEMBL1519,CHEMBL1560,CHEMBL1581,CHEMBL1592,CHEMBL1668,CHEMBL1694,CHEMBL1729579,CHEMBL1733,CHEMBL2106226,CHEMBL3039596,CHEMBL3039598,CHEMBL317094,CHEMBL3187812,CHEMBL325055,CHEMBL331378,CHEMBL35084,CHEMBL3544986,CHEMBL373742,CHEMBL431,CHEMBL515606,CHEMBL577,CHEMBL578,CHEMBL579,CHEMBL6,CHEMBL838,CHEMBL99701"
"ACE2"	"CHEMBL260273,CHEMBL429844,FLUTAMIDE,LISINOPRIL"	"CHEMBL1237,CHEMBL260273,CHEMBL429844,CHEMBL806"
"ACHE"	"6-AMINONICOTINAMIDE,8-AZAGUANINE,ACOTIAMIDE,AMBENONIUM,AMBENONIUM CHLORIDE,BETAMETHASONE,DEMECARIUM BROMIDE,DONEPEZIL,DONEPEZIL HYDROCHLORIDE,ECHOTHIOPHATE,ECHOTHIOPHATE IODIDE,EDROPHONIUM,EDROPHONIUM CHLORIDE,GALACTITOL,GALANTAMINE,GALANTAMINE HYDROBROMIDE,HEXAFLUORENIUM BROMIDE,HUPERZINE A,ISOFLUROPHATE,ITOPRIDE,LATREPIRDINE,MAGNESIUM CHLORIDE,MALATHION,METHADONE,NEOSTIGMINE,NEOSTIGMINE METHYLSULFATE,PHENSERINE,PHYSOSTIGMINE,PRALIDOXIME,PRALIDOXIME CHLORIDE,PYRIDOSTIGMINE,PYRIDOSTIGMINE BROMIDE,RIVASTIGMINE,RIVASTIGMINE TARTRATE,TACRINE,TACRINE HYDROCHLORIDE,THIOGUANINE"	"CHEMBL1025,CHEMBL1104,CHEMBL1115,CHEMBL1128,CHEMBL1200367,CHEMBL1200468,CHEMBL1200514,CHEMBL1200541,CHEMBL1200933,CHEMBL1201341,CHEMBL1255901,CHEMBL1324108,CHEMBL1420,CHEMBL1555,CHEMBL1652,CHEMBL1677,CHEMBL1678,CHEMBL1773904,CHEMBL2107457,CHEMBL2107723,CHEMBL211471,CHEMBL215645,CHEMBL2219642,CHEMBL278020,CHEMBL374107,CHEMBL502,CHEMBL589390,CHEMBL632,CHEMBL636,CHEMBL651,CHEMBL659,CHEMBL727,CHEMBL748,CHEMBL74926,CHEMBL812,CHEMBL94,CHEMBL95"
"ACKR3"	"CHEMBL351042,PLERIXAFOR,ROLOFYLLINE (CHEMBL52333)"	"CHEMBL18442,CHEMBL351042,CHEMBL52333"
"ACKR4"	NA	NA
"ACLY"	"GLUCAGON"	"CHEMBL266481"
"ACO1"	"ACETYLCYSTEINE"	"CHEMBL600"
"ACP5"	"CILMOSTIM,FILGRASTIM,PHORBOL MYRISTATE ACETATE,STREPTOZOTOCIN"	"CHEMBL1201567,CHEMBL1651906,CHEMBL2108239,CHEMBL279115"
"ACPP"	NA	NA
"ACR"	NA	NA
"ACTA1"	NA	NA
"ACTB"	"CYCLOPHOSPHAMIDE,ETHINYL ESTRADIOL"	"CHEMBL691,CHEMBL88"
"ACTC1"	"DEXAMETHASONE"	"CHEMBL384467"
"ACTG1"	NA	NA
"ACTG1P4"	"CIMETIDINE"	"CHEMBL30"
"ACTL6A"	"CHEMBL225155"	"CHEMBL225155"
"ACTR2"	"ETOPOSIDE"	"CHEMBL44657"
"ACVR1"	"CHEMBL3186227"	"CHEMBL3186227"
"ACVR1B"	NA	NA
"ACVR1C"	"ETHAMBUTOL HYDROCHLORIDE,PJ34 (CHEMBL372303),PROPIDIUM,SB-431542"	"CHEMBL1628240,CHEMBL345124,CHEMBL372303,CHEMBL440084"
"ACVR2A"	"BIMAGRUMAB,SOTATERCEPT"	"CHEMBL1743073,CHEMBL3137353"
"ACVR2B"	"BIMAGRUMAB,Rematercept"	"CHEMBL2109620,CHEMBL3137353"
"ACVRL1"	"Delantercept,Panulisib,PF-03446962"	"CHEMBL2109295,CHEMBL2109662,CHEMBL3545322"
"AD5"	"AVAGACESTAT,BEGACESTAT,SEMAGACESTAT,TARENFLURBIL"	"CHEMBL1090771,CHEMBL190083,CHEMBL463981,CHEMBL520733"
"ADA"	"AMITRIPTYLINE,CHEMBL1255648,CHEMBL23094,CLADRIBINE,DIPYRIDAMOLE,EHNA,FLUDARABINE,GARLIC,HYDROCORTISONE,HYDROGEN PEROXIDE,LEVODOPA,METHOTREXATE,PENTOSTATIN,TARGININE"	"CHEMBL1009,CHEMBL1255648,CHEMBL1568,CHEMBL1580,CHEMBL1619,CHEMBL2108463,CHEMBL23094,CHEMBL256147,CHEMBL34259,CHEMBL389621,CHEMBL50378,CHEMBL629,CHEMBL71595,CHEMBL932"
"ADAM10"	"ADERBASIB,ILOMASTAT"	"CHEMBL19611,CHEMBL2103790"
"ADAM12"	"ILOMASTAT"	"CHEMBL19611"
"ADAM17"	"ADERBASIB,APRATASTAT,CHEMBL148169,CHEMBL1630098,CHEMBL489100,CHEMBL514958,ILOMASTAT"	"CHEMBL148169,CHEMBL1630098,CHEMBL19611,CHEMBL206815,CHEMBL2103790,CHEMBL489100,CHEMBL514958"
"ADAM33"	"CHEMBL148169"	"CHEMBL148169"
"ADAM8"	NA	NA
"ADAM9"	"ILOMASTAT"	"CHEMBL19611"
"ADAMTS1"	NA	NA
"ADAMTS4"	"CHONDROITIN SULFATE"	"CHEMBL2303614"
"ADAMTS5"	"STAUROSPORINE"	"CHEMBL388978"
"ADARB2"	"ACETIC ACID,BUTANOIC ACID,ISOBUTYRIC ACID,PROPIONIC ACID,VALERIC ACID"	"CHEMBL108778,CHEMBL14021,CHEMBL14227,CHEMBL268736,CHEMBL539"
"ADCY1"	"ADENOSINE PHOSPHATE"	"CHEMBL752"
"ADCY5"	NA	NA
"ADCY6"	"CHEMBL225155,CHEMBL319757"	"CHEMBL225155,CHEMBL319757"
"ADCYAP1"	"PROPRANOLOL,STREPTOZOTOCIN"	"CHEMBL1651906,CHEMBL27"
"ADCYAP1R1"	"AZASETRON,AZELAIC ACID,AZITHROMYCIN,BEPRIDIL,CHEMBL525028,ETIDRONIC ACID,MK-0893,NALOXONE"	"CHEMBL1008,CHEMBL1238,CHEMBL1598608,CHEMBL1933349,CHEMBL525028,CHEMBL529,CHEMBL80,CHEMBL871"
"ADGRB1"	"DEXFOSFOSERINE"	"CHEMBL284377"
"ADGRG3"	"BECLOMETHASONE DIPROPIONATE,CHEMBL351231,CIPRALISANT,FAMOTIDINE,GALNON,GSK239512"	"CHEMBL1200500,CHEMBL2309599,CHEMBL278462,CHEMBL3092650,CHEMBL351231,CHEMBL902"
"ADH1A"	"FOMEPIZOLE"	"CHEMBL1308"
"ADH1B"	"FOMEPIZOLE"	"CHEMBL1308"
"ADH1C"	"FOMEPIZOLE,TRETINOIN"	"CHEMBL1308,CHEMBL38"
"ADH4"	"ALCOHOL"	"CHEMBL545"
"ADH5"	NA	NA
"ADI1"	"CHEMBL1161866"	"CHEMBL1161866"
"ADIPOQ"	"FENOFIBRATE,NEVIRAPINE,SPIRONOLACTONE"	"CHEMBL1393,CHEMBL57,CHEMBL672"
"ADK"	"BLEOMYCIN (CHEMBL3039590),BUSULFAN,CHEMBL1591918,CHEMBL23094,CHEMBL66089,DACARBAZINE,DIDANOSINE,LOMUSTINE"	"CHEMBL1460,CHEMBL1591918,CHEMBL23094,CHEMBL3039590,CHEMBL476,CHEMBL514,CHEMBL66089,CHEMBL820"
"ADM"	"CHEMBL35482,INDOMETHACIN,PHORBOL MYRISTATE ACETATE"	"CHEMBL279115,CHEMBL35482,CHEMBL6"
