"Fusions"	"Cancer_Types"	"DB"	"Jackson"	"Fusion"	"Cosmic"	"ChiTaRS"	"TICdb"	"ConjoinG"	"Count"
"A1BG--A1BG"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A1CF--A1CF"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A1CF--ANKDD1A"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A2LD1--DCLK1"	"PRAD,PRAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"A2LD1--KIAA0226L"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A2LD1--PCCA"	"BLCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A2M--A2M"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"A2M--AFMID"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A2M--ARFGEF2"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"A2M--EPN2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A2M--FAR1"	"KIRC,KIRC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"A2ML1--RBM39"	"HNSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A2ML1--SNX29"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A4GALT--CYB5R3"	"HNSC"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"39"
"AAAS--C15orf39"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAAS--FKBP6"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAAS--KDM2A"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAAS--MAOB"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAAS--ZNF414"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AACS--FBN1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AACS--MAL"	"UCEC,UCEC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AAGAB--AAGAB"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AAK1--ANXA4"	"UCEC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAK1--C2orf42"	"OV,OV"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AAK1--FNTA"	"ESCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAK1--KCMF1"	"PRAD,PRAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AAK1--NOP58"	"ESCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAK1--PDZRN4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAK1--UBE2E2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAK1--USP19"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAMDC--TENM4"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAMP--4.Mar"	"LUSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARS--AARS"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
